escenario,algoritmo,seed,n_viewpoints,mejor_distancia,tiempo_total,iteraciones,estado
2,ACO_AS_RANK,2,72,11.221336245536804,20.932802200084552,100,OK
2,ACO_AS_RANK,3,72,11.221336245536804,21.124249400105327,100,OK
2,ACO_AS_RANK,4,72,11.24453978985548,20.313476499868557,100,OK
2,ACO_AS_RANK,5,72,11.258523613214493,20.061402200022712,100,OK
2,ACO_AS_RANK,6,72,11.24453978985548,19.738081000046805,100,OK
2,ACO_AS_RANK,7,72,11.221336245536804,22.064659799914807,100,OK
2,ACO_AS_RANK,8,72,11.221336245536804,22.046058099949732,100,OK
2,ACO_AS_RANK,9,72,11.24453978985548,22.35059649986215,100,OK
2,ACO_AS_RANK,10,72,11.191517755389214,22.637560499832034,100,OK
2,ACO_AS_RANK,11,72,11.24453978985548,22.978087300201878,100,OK
2,ACO_AS_RANK,12,72,11.221336245536804,22.128631100058556,100,OK
2,ACO_AS_RANK,13,72,11.24453978985548,21.27668089978397,100,OK
2,ACO_AS_RANK,14,72,11.221336245536804,21.094559399876744,100,OK
2,ACO_AS_RANK,15,72,11.258523613214493,20.12096540001221,100,OK
2,ACO_AS_RANK,16,72,11.221336245536804,20.11581840016879,100,OK
2,ACO_AS_RANK,17,72,11.221336245536804,19.73213420016691,100,OK
2,ACO_AS_RANK,18,72,11.221336245536804,21.884520899970084,100,OK
2,ACO_AS_RANK,19,72,11.221336245536804,22.39537849999033,100,OK
2,ACO_AS_RANK,20,72,11.280631184577942,22.05464840005152,100,OK
2,ACO_AS_RANK,21,72,11.24453978985548,22.738343000179157,100,OK
2,ACO_AS_RANK,22,72,11.191517755389214,23.157509099924937,100,OK
2,ACO_AS_RANK,23,72,11.258523613214493,21.803300000028685,100,OK
2,ACO_AS_RANK,24,72,11.191517755389214,21.300458000041544,100,OK
2,ACO_AS_RANK,25,72,11.221336245536804,21.140363700222224,100,OK
2,ACO_AS_RANK,26,72,11.292685724794865,20.644271299941465,100,OK
2,ACO_AS_RANK,27,72,11.24453978985548,21.04034150019288,100,OK
2,ACO_AS_RANK,28,72,11.221336245536804,33.26027680002153,100,OK
2,ACO_AS_RANK,29,72,11.191517755389214,35.102389600127935,100,OK
2,ACO_AS_RANK,30,72,11.363085940480232,36.35909360018559,100,OK
2,ACO_MMAS,1,72,12.024274930357933,34.09747039992362,100,OK
2,ACO_MMAS,2,72,11.837314277887344,33.82133219996467,100,OK
2,ACO_MMAS,3,72,12.495903842151165,38.30089750001207,100,OK
2,ACO_MMAS,4,72,12.358048982918262,39.176745400065556,100,OK
2,ACO_MMAS,5,72,12.345600612461567,33.78686439990997,100,OK
2,ACO_MMAS,6,72,12.423214219510555,39.47745929984376,100,OK
2,ACO_MMAS,7,72,12.60038137435913,38.24588039983064,100,OK
2,ACO_MMAS,8,72,12.37247959524393,37.62904809997417,100,OK
2,ACO_MMAS,9,72,12.525890745222569,38.40416550007649,100,OK
2,ACO_MMAS,10,72,12.273406371474266,38.54518399992958,100,OK
2,ACO_MMAS,11,72,12.503440588712692,23.649236100027338,100,OK
2,ACO_MMAS,12,72,12.26526416093111,32.04608360002749,100,OK
2,ACO_MMAS,13,72,12.372152775526047,34.17451819987036,100,OK
2,ACO_MMAS,14,72,12.389657519757748,31.147877499926835,100,OK
2,ACO_MMAS,15,72,12.404083162546158,32.238303099991754,100,OK
2,ACO_MMAS,16,72,12.483760952949524,32.89828860014677,100,OK
2,ACO_MMAS,17,72,12.436416931450367,27.33569660014473,100,OK
2,ACO_MMAS,18,72,12.374416656792164,20.514119900064543,100,OK
2,ACO_MMAS,19,72,12.227744773030281,19.860859900014475,100,OK
2,ACO_MMAS,20,72,12.294110655784607,20.746202499838546,100,OK
2,ACO_MMAS,21,72,12.277563244104385,21.440671200165525,100,OK
2,ACO_MMAS,22,72,12.304268136620522,21.532489199889824,100,OK
2,ACO_MMAS,23,72,12.480859711766243,21.568106499966234,100,OK
2,ACO_MMAS,24,72,12.145847134292126,22.40754820010625,100,OK
2,ACO_MMAS,25,72,12.643394611775875,22.02209009998478,100,OK
2,ACO_MMAS,26,72,12.625266559422016,20.614162999903783,100,OK
2,ACO_MMAS,27,72,12.292413234710693,20.656922100111842,100,OK
